HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2024-01-01 13:00:00;2024-01-01 14:00:00;SE4;344,709991;46,240002
2024-01-01 13:00:00;2024-01-01 14:00:00;SE3;344,709991;46,240002
2024-01-01 13:00:00;2024-01-01 14:00:00;NO2;462,640015;62,060001
2024-01-01 13:00:00;2024-01-01 14:00:00;DK2;344,709991;46,240002
2024-01-01 13:00:00;2024-01-01 14:00:00;DK1;344,709991;46,240002
2024-01-01 13:00:00;2024-01-01 14:00:00;DE;7,750000;1,040000
2024-01-01 14:00:00;2024-01-01 15:00:00;SYSTEM;439,230011;58,919998
2024-01-01 14:00:00;2024-01-01 15:00:00;SE4;377,290009;50,610001
2024-01-01 14:00:00;2024-01-01 15:00:00;SE3;377,290009;50,610001
2024-01-01 14:00:00;2024-01-01 15:00:00;NO2;466,070007;62,520000
2024-01-01 14:00:00;2024-01-01 15:00:00;DK2;377,290009;50,610001
2024-01-01 14:00:00;2024-01-01 15:00:00;DK1;377,290009;50,610001
2024-01-01 14:00:00;2024-01-01 15:00:00;DE;27,280001;3,660000
2024-01-01 15:00:00;2024-01-01 16:00:00;SYSTEM;466,739990;62,610001
2024-01-01 15:00:00;2024-01-01 16:00:00;SE4;443,329987;59,470001
2024-01-01 15:00:00;2024-01-01 16:00:00;SE3;443,329987;59,470001
2024-01-01 15:00:00;2024-01-01 16:00:00;NO2;471,070007;63,189999
2024-01-01 15:00:00;2024-01-01 16:00:00;DK2;443,329987;59,470001
2024-01-01 15:00:00;2024-01-01 16:00:00;DK1;443,329987;59,470001
2024-01-01 15:00:00;2024-01-01 16:00:00;DE;321,000000;43,060001
2024-01-01 16:00:00;2024-01-01 17:00:00;SYSTEM;481,950012;64,650002
2024-01-01 16:00:00;2024-01-01 17:00:00;SE4;484,480011;64,989998
2024-01-01 16:00:00;2024-01-01 17:00:00;SE3;484,480011;64,989998
2024-01-01 16:00:00;2024-01-01 17:00:00;NO2;484,480011;64,989998
2024-01-01 16:00:00;2024-01-01 17:00:00;DK2;484,480011;64,989998
2024-01-01 16:00:00;2024-01-01 17:00:00;DK1;484,480011;64,989998
2024-01-01 16:00:00;2024-01-01 17:00:00;DE;372,220001;49,930000
2024-01-01 17:00:00;2024-01-01 18:00:00;SYSTEM;469,500000;62,980000
2024-01-01 17:00:00;2024-01-01 18:00:00;SE4;460,260010;61,740002
2024-01-01 17:00:00;2024-01-01 18:00:00;SE3;460,260010;61,740002
2024-01-01 17:00:00;2024-01-01 18:00:00;NO2;473,970001;63,580002
2024-01-01 17:00:00;2024-01-01 18:00:00;DK2;460,260010;61,740002
2024-01-01 17:00:00;2024-01-01 18:00:00;DK1;460,260010;61,740002
2024-01-01 17:00:00;2024-01-01 18:00:00;DE;432,380005;58,000000
2024-01-01 18:00:00;2024-01-01 19:00:00;SYSTEM;464,359985;62,290001
2024-01-01 18:00:00;2024-01-01 19:00:00;SE4;410,529999;55,070000
2024-01-01 18:00:00;2024-01-01 19:00:00;SE3;410,529999;55,070000
2024-01-01 18:00:00;2024-01-01 19:00:00;NO2;470,399994;63,099998
2024-01-01 18:00:00;2024-01-01 19:00:00;DK2;410,529999;55,070000
2024-01-01 18:00:00;2024-01-01 19:00:00;DK1;456,750000;61,270000
2024-01-01 18:00:00;2024-01-01 19:00:00;DE;404,420013;54,250000
2024-01-01 19:00:00;2024-01-01 20:00:00;SYSTEM;409,790009;54,970001
2024-01-01 19:00:00;2024-01-01 20:00:00;SE4;357,899994;48,009998
2024-01-01 19:00:00;2024-01-01 20:00:00;SE3;357,899994;48,009998
2024-01-01 19:00:00;2024-01-01 20:00:00;NO2;463,309998;62,150002
2024-01-01 19:00:00;2024-01-01 20:00:00;DK2;357,899994;48,009998
2024-01-01 19:00:00;2024-01-01 20:00:00;DK1;447,059998;59,970001
2024-01-01 19:00:00;2024-01-01 20:00:00;DE;357,899994;48,009998
2024-01-01 20:00:00;2024-01-01 21:00:00;SYSTEM;357,160004;47,910000
2024-01-01 20:00:00;2024-01-01 21:00:00;SE4;328,079987;44,009998
2024-01-01 20:00:00;2024-01-01 21:00:00;SE3;328,079987;44,009998
2024-01-01 20:00:00;2024-01-01 21:00:00;NO2;434,390015;58,270000
2024-01-01 20:00:00;2024-01-01 21:00:00;DK2;328,079987;44,009998
2024-01-01 20:00:00;2024-01-01 21:00:00;DK1;409,420013;54,919998
2024-01-01 20:00:00;2024-01-01 21:00:00;DE;320,179993;42,950001
2024-01-01 21:00:00;2024-01-01 22:00:00;SYSTEM;349,480011;46,880001
2024-01-01 21:00:00;2024-01-01 22:00:00;SE4;336,959991;45,200001
2024-01-01 21:00:00;2024-01-01 22:00:00;SE3;336,959991;45,200001
2024-01-01 21:00:00;2024-01-01 22:00:00;NO2;391,970001;52,580002
2024-01-01 21:00:00;2024-01-01 22:00:00;DK2;336,959991;45,200001
2024-01-01 21:00:00;2024-01-01 22:00:00;DK1;355,220001;47,650002
2024-01-01 21:00:00;2024-01-01 22:00:00;DE;351,040009;47,090000
2024-01-01 22:00:00;2024-01-01 23:00:00;SYSTEM;299,160004;40,130001
2024-01-01 22:00:00;2024-01-01 23:00:00;SE4;283,279999;38,000000
2024-01-01 22:00:00;2024-01-01 23:00:00;SE3;283,279999;38,000000
2024-01-01 22:00:00;2024-01-01 23:00:00;NO2;328,230011;44,029999
2024-01-01 22:00:00;2024-01-01 23:00:00;DK2;283,279999;38,000000
2024-01-01 22:00:00;2024-01-01 23:00:00;DK1;265,019989;35,549999
2024-01-01 22:00:00;2024-01-01 23:00:00;DE;265,019989;35,549999
2024-01-01 23:00:00;2024-01-02 00:00:00;SYSTEM;299,829987;40,220001
2024-01-01 23:00:00;2024-01-02 00:00:00;SE4;283,279999;38,000000
2024-01-01 23:00:00;2024-01-02 00:00:00;SE3;283,279999;38,000000
2024-01-01 23:00:00;2024-01-02 00:00:00;NO2;283,279999;38,000000
2024-01-01 23:00:00;2024-01-02 00:00:00;DK2;283,279999;38,000000
2024-01-01 23:00:00;2024-01-02 00:00:00;DK1;228,039993;30,590000
2024-01-01 23:00:00;2024-01-02 00:00:00;DE;228,039993;30,590000
2024-01-02 00:00:00;2024-01-02 01:00:00;SYSTEM;283,279999;38,000000
2024-01-02 00:00:00;2024-01-02 01:00:00;SE4;250,179993;33,560001
2024-01-02 00:00:00;2024-01-02 01:00:00;SE3;250,179993;33,560001
2024-01-02 00:00:00;2024-01-02 01:00:00;NO2;250,179993;33,560001
2024-01-02 00:00:00;2024-01-02 01:00:00;DK2;250,179993;33,560001
2024-01-02 00:00:00;2024-01-02 01:00:00;DK1;149,619995;20,070000
2024-01-02 00:00:00;2024-01-02 01:00:00;DE;149,619995;20,070000
2024-01-02 01:00:00;2024-01-02 02:00:00;SYSTEM;278,209991;37,320000
2024-01-02 01:00:00;2024-01-02 02:00:00;SE4;238,779999;32,029999
2024-01-02 01:00:00;2024-01-02 02:00:00;SE3;238,779999;32,029999
2024-01-02 01:00:00;2024-01-02 02:00:00;NO2;238,779999;32,029999
2024-01-02 01:00:00;2024-01-02 02:00:00;DK2;238,779999;32,029999
2024-01-02 01:00:00;2024-01-02 02:00:00;DK1;231,320007;31,030001
2024-01-02 01:00:00;2024-01-02 02:00:00;DE;231,320007;31,030001
2024-01-02 02:00:00;2024-01-02 03:00:00;SYSTEM;275,450012;36,950001
2024-01-02 02:00:00;2024-01-02 03:00:00;SE4;240,710007;32,290001
2024-01-02 02:00:00;2024-01-02 03:00:00;SE3;240,710007;32,290001
2024-01-02 02:00:00;2024-01-02 03:00:00;NO2;240,710007;32,290001
2024-01-02 02:00:00;2024-01-02 03:00:00;DK2;240,710007;32,290001
2024-01-02 02:00:00;2024-01-02 03:00:00;DK1;137,089996;18,389999
2024-01-02 02:00:00;2024-01-02 03:00:00;DE;137,089996;18,389999
2024-01-02 03:00:00;2024-01-02 04:00:00;SYSTEM;292,600006;39,250000
2024-01-02 03:00:00;2024-01-02 04:00:00;SE4;273,589996;36,700001
2024-01-02 03:00:00;2024-01-02 04:00:00;SE3;273,589996;36,700001
2024-01-02 03:00:00;2024-01-02 04:00:00;NO2;273,589996;36,700001
2024-01-02 03:00:00;2024-01-02 04:00:00;DK2;273,589996;36,700001
2024-01-02 03:00:00;2024-01-02 04:00:00;DK1;82,599998;11,080000
2024-01-02 03:00:00;2024-01-02 04:00:00;DE;82,599998;11,080000
2024-01-02 04:00:00;2024-01-02 05:00:00;SYSTEM;335,690002;45,029999
2024-01-02 04:00:00;2024-01-02 05:00:00;SE4;311,010010;41,720001
2024-01-02 04:00:00;2024-01-02 05:00:00;SE3;311,010010;41,720001
2024-01-02 04:00:00;2024-01-02 05:00:00;NO2;311,010010;41,720001
2024-01-02 04:00:00;2024-01-02 05:00:00;DK2;311,010010;41,720001
2024-01-02 04:00:00;2024-01-02 05:00:00;DK1;102,730003;13,780000
2024-01-02 04:00:00;2024-01-02 05:00:00;DE;102,730003;13,780000
2024-01-02 05:00:00;2024-01-02 06:00:00;SYSTEM;392,640015;52,669998
2024-01-02 05:00:00;2024-01-02 06:00:00;SE4;366,630005;49,180000
2024-01-02 05:00:00;2024-01-02 06:00:00;SE3;366,630005;49,180000
2024-01-02 05:00:00;2024-01-02 06:00:00;NO2;366,630005;49,180000
